----------------------19/05

URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1611193/33d4870e-e5d0-43ae-bf68-0c5409f8acbe ; Proyecto: Zenteno ;   N° departamento: 518  ; Precio Normal: Normal: UF 3.258 ; Oferta: 2.606 ; Descuento:  UF 2.606 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1982104/0aa0bb2f-c7a9-40e4-ae23-e88a8034524b ; Proyecto: Edificio Santa Elena 1670 ;   N° departamento: 1106  ; Precio Normal: Normal: UF 3.212 ; Oferta: 2.891 ; Descuento:  UF 2.891 ; Reserva: Precio reserva: $100.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1720630/aad441b8-dfa1-4e66-8661-3abbe4d1e347 ; Proyecto: Edificio Vivaceta ;   N° departamento: 616  ; Precio Normal: Normal: UF 1.908 ; Oferta: 1.736 ; Descuento:  UF 1.736 ; Reserva: Precio reserva: $300.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1634373/7af0c12f-8eb1-43e9-b59d-d184c86b5d5d ; Proyecto: 2 Norte 1230 ;   N° departamento: A504  ; Precio Normal: Normal: UF 8.253 ; Oferta: 7.015 ; Descuento:  UF 7.015 ; Reserva: Precio reserva: $500.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1129791/98440f45-9c92-4cea-a6aa-413caeb9409a ; Proyecto: Playa Cochoa ;   N° departamento: 904  ; Precio Normal: Normal: UF 12.078 ; Oferta: 10.266 ; Descuento:  UF 10.266 ; Reserva: Precio reserva: $1.000.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1200756/7be0f670-3492-4130-ace1-5acb78c7339a ; Proyecto: Villagra 161 ;   N° departamento: 207 A  ; Precio Normal: Normal: UF 3.510 ; Oferta: 3.212 ; Descuento:  UF 3.212 ; Reserva: Precio reserva: $500.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1716756/574e94f2-96da-4821-a133-e3210eae3ae1 ; Proyecto: COMPAÑIA ;   N° departamento: 313  ; Precio Normal: Normal: UF 2.660 ; Oferta: 2.314 ; Descuento:  UF 2.314 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1037306/428fede0-2e6f-45c4-85db-05c17e30c0aa ; Proyecto: Quinta Radal ;   N° departamento: 119  ; Precio Normal: Normal: UF 2.000 ; Oferta: 1.82 ; Descuento:  UF 1.820 ; Reserva: Precio reserva: $300.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1486764/2f30a1e6-f798-46b5-9f81-674198190256 ; Proyecto: EDIFICIO FAUSTINO ;   N° departamento: 409-Estudio  ; Precio Normal: Normal: UF 3.310 ; Oferta: 2.814 ; Descuento:  UF 2.814 ; Reserva: Precio reserva: $500.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1327457/b81cfc66-a3a8-4207-9259-b2afee5f176f ; Proyecto: Condominio Altos Del Monasterio ;   Bodega: No  ; Precio Normal: Normal: UF 5.125 ; Oferta: 4.613 ; Descuento:  UF 4.613 ; Reserva: Precio reserva: $300.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1097394/d4c37f8f-80ed-4b4d-9664-1fcf748ecaab ; Proyecto: Holanda 1101 ;   N° departamento: 605  ; Precio Normal: Normal: UF 12.492 ; Oferta: 11.243 ; Descuento:  UF 11.243 ; Reserva: Precio reserva: $1.000.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1261532/b18077d2-e9c5-47e4-a347-30d865cee636 ; Proyecto: San Francisco ;   Bodega: No  ; Precio Normal: Normal: UF 5.999 ; Oferta: 5.399 ; Descuento:  UF 5.399 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1982104/beadf80b-e6cb-4e67-a996-3ece35a7b8df ; Proyecto: Edificio Santa Elena 1670 ;   N° departamento: 1401  ; Precio Normal: Normal: UF 3.494 ; Oferta: 3.145 ; Descuento:  UF 3.145 ; Reserva: Precio reserva: $100.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1115826/dd309985-bdaf-4f99-ac85-93d39dc4264f ; Proyecto: Santa Petronila Plaza ;   N° departamento: 2604  ; Precio Normal: Normal: UF 3.102 ; Oferta: 2.544 ; Descuento:  UF 2.544 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1784280/b3d37c6c-ea04-45a5-bcef-9fb610f90458 ; Proyecto: Brown Plaza Ñuñoa ;   N° departamento: 505  ; Precio Normal: Normal: UF 3.350 ; Oferta: 3.049 ; Descuento:  UF 3.049 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1634373/dcb9f01b-b286-425f-a9ad-aa503c716ef7 ; Proyecto: 2 Norte 1230 ;   N° departamento: A505  ; Precio Normal: Normal: UF 4.603 ; Oferta: 3.913 ; Descuento:  UF 3.913 ; Reserva: Precio reserva: $500.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1730388/cdc35732-f59c-40e7-abe9-71127326d4ce ; Proyecto: Carlos Valdovinos 201 ;   N° departamento: I346-108  ; Precio Normal: Normal: UF 3.485 ; Oferta: 3.137 ; Descuento:  UF 3.137 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1129791/504e6741-06c5-4508-99e0-d0ef44ccefaa ; Proyecto: Playa Cochoa ;   N° departamento: 404  ; Precio Normal: Normal: UF 8.639 ; Oferta: 7.343 ; Descuento:  UF 7.343 ; Reserva: Precio reserva: $1.000.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1129791/9bbdd783-010c-44ce-9a43-487c7c9db8bd ; Proyecto: Playa Cochoa ;   N° departamento: 704  ; Precio Normal: Normal: UF 12.078 ; Oferta: 10.266 ; Descuento:  UF 10.266 ; Reserva: Precio reserva: $1.000.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1608464/179463e5-7698-4ffd-a429-3300f71cedb5 ; Proyecto: Quinta Linderos Condominio Los Almendros ;   Bodega: No  ; Precio Normal: Normal: UF 6.810 ; Oferta: 6.129 ; Descuento:  UF 6.129 ; Reserva: Precio reserva: $300.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1619458/ba6fb30d-effa-42dd-b4dc-6b220146fac4 ; Proyecto: Edificio Chiloé-Prat ;   N° departamento: 235  ; Precio Normal: Normal: UF 2.971 ; Oferta: 2.436 ; Descuento:  UF 2.436 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1037306/bd310399-2479-49e1-8dd9-120b62b053fd ; Proyecto: Quinta Radal ;   N° departamento: 409  ; Precio Normal: Normal: UF 2.370 ; Oferta: 2.157 ; Descuento:  UF 2.157 ; Reserva: Precio reserva: $300.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1634373/7af0c12f-8eb1-43e9-b59d-d184c86b5d5d ; Proyecto: 2 Norte 1230 ;   N° departamento: A504  ; Precio Normal: Normal: UF 8.253 ; Oferta: 7.015 ; Descuento:  UF 7.015 ; Reserva: Precio reserva: $500.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1789066/d1815511-766f-4775-9221-d75339221333 ; Proyecto: Condominio Camino el Retiro II ;   Bodega: No  ; Precio Normal: Normal: UF 7.230 ; Oferta: 6.507 ; Descuento:  UF 6.507 ; Reserva: Precio reserva: $300.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1611193/e39e38c6-3eb3-47a7-a6a9-99abc53bf3c4 ; Proyecto: Zenteno ;   N° departamento: 201  ; Precio Normal: Normal: UF 3.940 ; Oferta: 3.27 ; Descuento:  UF 3.270 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1327457/bdba12dc-5af0-48ed-bc82-ad9d9a4fa8b3 ; Proyecto: Condominio Altos Del Monasterio ;   Bodega: No  ; Precio Normal: Normal: UF 5.235 ; Oferta: 4.712 ; Descuento:  UF 4.712 ; Reserva: Precio reserva: $300.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1486764/2f30a1e6-f798-46b5-9f81-674198190256 ; Proyecto: EDIFICIO FAUSTINO ;   N° departamento: 409-Estudio  ; Precio Normal: Normal: UF 3.310 ; Oferta: 2.814 ; Descuento:  UF 2.814 ; Reserva: Precio reserva: $500.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1115826/7fa2c676-deba-454c-93e5-110f9c84dda7 ; Proyecto: Santa Petronila Plaza ;   N° departamento: 611  ; Precio Normal: Normal: UF 3.193 ; Oferta: 2.65 ; Descuento:  UF 2.650 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1425694/f30adc1f-d7dc-4102-8e12-6344a25c30eb ; Proyecto: Nueva Arlegui ;   N° departamento: 1501  ; Precio Normal: Normal: UF 3.400 ; Oferta: 2.788 ; Descuento:  UF 2.788 ; Reserva: Precio reserva: $500.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1982104/0aa0bb2f-c7a9-40e4-ae23-e88a8034524b ; Proyecto: Edificio Santa Elena 1670 ;   N° departamento: 1106  ; Precio Normal: Normal: UF 3.212 ; Oferta: 2.891 ; Descuento:  UF 2.891 ; Reserva: Precio reserva: $100.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1982996/702444fb-de14-43f5-b128-18d6a5a57960 ; Proyecto: Edificio Rosas 1444 ;   N° departamento: 608  ; Precio Normal: Normal: UF 2.722 ; Oferta: 2.45 ; Descuento:  UF 2.450 ; Reserva: Precio reserva: $100.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1261532/b18077d2-e9c5-47e4-a347-30d865cee636 ; Proyecto: San Francisco ;   Bodega: No  ; Precio Normal: Normal: UF 5.999 ; Oferta: 5.399 ; Descuento:  UF 5.399 ; Reserva: Precio reserva: $250.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1149218/baee1971-059f-4392-a83c-9f60b863c38e ; Proyecto: Mirador Martín de Zamora ;   N° departamento: 503  ; Precio Normal: Normal: UF 8.423 ; Oferta: 7.412 ; Descuento:  UF 7.412 ; Reserva: Precio reserva: $1.000.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1200756/3c147ee7-8e6e-47c4-b69e-47823f897254 ; Proyecto: Villagra 161 ;   N° departamento: 203A  ; Precio Normal: Normal: UF 3.570 ; Oferta: 3.267 ; Descuento:  UF 3.267 ; Reserva: Precio reserva: $500.000
URL: https://qa.toctoc.com/ofertas-toctoc/detalle/1327428/ced1cf21-8a3a-4ee0-bef0-0393e41ec621 ; Proyecto: SAN LEON IX ;   Bodega: No  ; Precio Normal: Normal: UF 4.705 ; Oferta: 4.235 ; Descuento:  UF 4.235 ; Reserva: Precio reserva: $250.000
